album_id,album_name,artist_id,release_date,total_tracks,album_type
0mZIUXje90JtHxPNzWsJNR,Voicenotes,6VuMaDnrHyPL1p4EHjYLi7,2018-05-11,13,album
2IYQwwgxgOIn7t3iF6ufFD,APT.,3eVa5w3URK5duf6eyVDbu9,2024-10-18,1,single
2u4Yp2ADTKYPwFSBFL4ffa,Happier,64KEffDW9EtZ1y2vBYgq8T,2018-08-17,1,single
4gCNyS7pidfK3rKWhB3JOY,FOUR (Deluxe),4AK6F7OLvEQ5QYCBNiQWHq,2014-11-17,16,album
4JPguzRps3kuWDD5GS6oXr,Memories...Do Not Open,69GGBxA162lTqCwzJG5jLp,2017-04-07,12,album
4z2eVLzV0UxLc2O4VZMIjV,Glad You Exist,7z5WFjZAIYejWy0NI5lv4T,2021-02-05,1,single
5J4SS8wTmXdyIEVYjmHzpZ,Nine Track Mind (Special Edition),6VuMaDnrHyPL1p4EHjYLi7,2015-11-05,20,album
5Jk4Eg7pxYhDrWJCVVzmMt,CHARLIE,6VuMaDnrHyPL1p4EHjYLi7,2022-10-06,12,album
66JuK41D3LpkbX3HCTGcQk,Leave Before You Love Me,64KEffDW9EtZ1y2vBYgq8T,2021-05-21,1,single
69MQlshE2Cveetu5T2b2JT,"Oru Manam (From ""Dhruva Natchathiram"")",29aw5YCdIw2FEXYyAJZI8l,2020-10-09,1,single
